№,year,first,title,cast,location,lat,lng
90,平成20年度,ふ,映画「フィッシュストーリー」,森山未來、多部未華子,茶茗館,35.070447,138.107828
91,平成20年度,に,映画「20世紀少年」,ユースケサンタマリア、小池栄子,大井川鐵道　新金谷駅,34.824029,138.139015
92,平成20年度,し,CM「愛昇殿」,－,大井川鐵道　新金谷駅,34.824029,138.139015
93,平成20年度,な,ドラマ「なでしこ隊物語」,成海璃子,大井川鐵道　田野口駅,35.051649,138.095704
94,平成20年度,し,「地元の人が教える！2泊3日の旅」 ,澤登正朗,大井川鐵道　井川線　川根両国駅,35.116837,138.140661
95,平成20年度,し,「地元の人が教える！2泊3日の旅」 ,澤登正朗,沢間駅,35.124676,138.134343
96,平成20年度,し,「地元の人が教える！2泊3日の旅」 ,澤登正朗,大井川河川敷,34.836364,138.175997
97,平成20年度,お,映画「丘のうえから」,－,大井川鐵道　新金谷駅,34.824029,138.139015
98,平成20年度,お,映画「丘のうえから」,－,川越し遺跡,34.831342,138.154388
99,平成20年度,さ,ドラマ｢最後の戦犯」,ＡＲＡＴＡ、倍賞美津子,大井川鐵道　新金谷駅,34.824029,138.139015
100,平成20年度,う,映画「ヴィヨンの妻 ～桜桃とタンポポ～」,松たか子・浅野忠信,蓬莱橋,34.825524,138.184443
101,平成20年度,け,ドラマ「刑事一代」,渡辺謙,大井川鐡道　田野口駅,35.051649,138.095704
102,平成20年度,け,ドラマ「刑事一代」,渡辺謙,千頭駅,35.107678,138.136566
103,平成20年度,け,ドラマ「刑事一代」,渡辺謙,不動の滝,34.95085,138.123078
104,平成20年度,な,バラエティー「中居正広のキンスマ！波瀾万丈スペシャル」,－,大井川,34.836364,138.175997
105,平成20年度,ま,ドラマ「万引きGメン・二階堂雪18　緊急遺言」（仮題）,木の実ナナ、角野卓造、あき竹城、星由里子他,大井川鐡道,34.82546,138.137188
106,平成21年度,せ,映画「ゼロの焦点」,広末涼子,蓬莱橋,34.825524,138.184443
107,平成21年度,せ,映画「ゼロの焦点」,広末涼子,家山の茶畑,34.940029,138.077744
108,平成21年度,せ,映画「ゼロの焦点」,広末涼子,お茶の郷,34.859192,135.874826
109,平成21年度,は,ドラマ「ハンチョウ～神南署安積班～」,黒部幸英,川根温泉裏河原,34.959891,138.08969
110,平成21年度,き,ＮＨＫ「金とく　誰が上げたか？打ち上げ花火」,－,大井川鐵道　新金谷駅,34.824029,138.139015
111,平成21年度,え,フジテレビ「エチカの鏡」,－,大井川鐵道　新金谷駅,34.824029,138.139015
112,平成21年度,え,フジテレビ「エチカの鏡」,－,千頭駅,35.107678,138.136566
113,平成21年度,ふ,映画 「FLOWERS」,竹内結子・大沢たかお　他,お茶の郷,34.859192,135.874826
114,平成21年度,ふ,映画 「FLOWERS」,竹内結子・大沢たかお　他,湯日の茶畑,34.805809,138.182565
115,平成21年度,ふ,映画 「FLOWERS」,竹内結子・大沢たかお　他,蓬莱橋,34.825524,138.184443
116,平成21年度,ま,ＮＨＫ松本清張ドラマスペシャル「顔」,谷原章介・原田夏希・高橋和也・大地康雄　他,大井川鐵道　新金谷駅,34.824029,138.139015
